MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,dataset://unihack_sample_input.csv,https://diablotools.com/products/DCB518ASTS06G,,,,DCB518ASTS06G,,Sanding Belt,,,DCB518ASTS06G,,Diablo,Diablo,Diablo,Freud Inc,Freud Inc,Diablo,Diablo,DCB518ASTS06G,,Abrasives & Cutting Tools > Abrasives > Sanding Belts,"Freud Inc Diablo, Sanding Belt, DCB518ASTS06G, Width 1/2 in, Length 18 in",SND BLT 1/2IN 18IN 6 120 DCB518ASTS06G,"Diablo 1/2"" x 18"" 120-Grit Detail File Sanding Belt (5-pk)","Diablo's 1/2"" x 18"" detail file sanding belts feature a premium aluminum oxide blend for fast material removal and extended sanding life. They incorporate a stearate coating to reduce build-up and Clog-SHIELD™ to minimize loading. The superior ENDURA-BOND™ grain bonding system ensures extreme durability for various sanding applications on wood, metal, and plastic.","Diablo's 1/2"" x 18"" detail file sanding belts feature a premium aluminum oxide blend for fast material removal and extended sanding life. They incorporate a stearate coating to reduce build-up and Clog-SHIELD™ to minimize loading. The superior ENDURA-BOND™ grain bonding system ensures extreme durability for various sanding applications on wood, metal, and plastic.","Diablo's 1/2"" x 18"" detail file sanding belts feature a premium aluminum oxide blend for fast material removal and extended sanding life. They incorporate a stearate coating to reduce build-up and Clog-SHIELD™ to minimize loading. The superior ENDURA-BOND™ grain bonding system ensures extreme durability for various sanding applications on wood, metal, and plastic.",,,,,,,,,,,,,,,,,,,,,,,,,,"Diablo 1/2"" x 18"" 120-Grit Detail File Sanding Belt (5-pk)",Width,1/2,in,Length,18,in,Package Quantity,6,,Grit,120,,Abrasive Material,Premium Aluminum Oxide Blend,,Coating,Stearate,,Feature,Clog-SHIELD™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,in,,,1/2,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dataset://unihack_sample_input.csv,https://4pda.to/forum/index.php?showtopic=880254&st=1140,https://4pda.to/forum/index.php?showtopic=929843&st=3600,,,3MABR-7100075678,,Abrasive Disc,,,3MABR-7100075678,,3M™,3M™,3M™,3M,3M,3M™,3M™,3MABR-7100075678,,Abrasives & Cutting Tools > Abrasives > Discs & Sheets,"3M 3M™, Abrasive Disc, 3MABR-7100075678, Series 775L, Backing Type Stikit Film",ABRASIVE DISC 775L STIKITFILM P150 CUBIT,"3M™ 3MABR-7100075678 Abrasive Disc (Series: 775L, Backing Type: Stikit Film, Grit: P150)","3M 775L Stikit Film abrasive disc with P150 grit and Cubitron II abrasive material, supplied in boxes of 50 discs.","3M 775L Stikit Film abrasive disc with P150 grit and Cubitron II abrasive material, supplied in boxes of 50 discs.","3M 775L Stikit Film abrasive disc with P150 grit and Cubitron II abrasive material, supplied in boxes of 50 discs.",,,,,,,,,,,,,,,,,,,,,,,,,,"3M™ 3MABR-7100075678 Abrasive Disc (Series: 775L, Backing Type: Stikit Film, Grit: P150)",Series,775L,,Backing Type,Stikit Film,,Grit,P150,,Abrasive Material,Cubitron II,,Form,Disc,,Quantity Per Box,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dataset://unihack_sample_input.csv,https://playtogether.vnggames.com/tin-tuc/gioi-thieu/gioi-thieu-play-together.html,https://event.playtogether.vnggames.com/playtogether/dang-ky-thi-dau,,,3MABR-7100045865,,Abrasive Disc,,,3MABR-7100045865,,3M™,3M™,3M™,3M,3M,3M™,3M™,3MABR-7100045865,,Abrasives & Cutting Tools > Abrasives > Discs & Sheets,"3M 3M™, Abrasive Disc, 3MABR-7100045865, Grit 120, Quantity Per Box 50 Disc",ABRASIVE DISC 120 50DISC CUBITRONII,"3M™ 3MABR-7100045865 Abrasive Disc (Grit: 120, Quantity Per Box: 50 Disc, Series: Cubitron II)","3M 775L Stikit Film P120 Cubitron II abrasive disc, supplied in a box of 50 discs.","3M 775L Stikit Film P120 Cubitron II abrasive disc, supplied in a box of 50 discs.","3M 775L Stikit Film P120 Cubitron II abrasive disc, supplied in a box of 50 discs.",,,,,,,,,,,,,,,,,,,,,,,,,,"3M™ 3MABR-7100045865 Abrasive Disc (Grit: 120, Quantity Per Box: 50 Disc, Series: Cubitron II)",Grit,120,,Quantity Per Box,50,Disc,Series,Cubitron II,,Model,775L Stikit Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.resumeviking.com/advice/resignation-letter-templates/,https://requestletters.com/home/15-resignation-letter-samples,https://status.net/articles/write-resignation-letter-examples-templates/,,,3MABR-7100048736,,,,,3MABR-7100048736,,3M™,3M™,3M™,Jam Industrial Supply LLC,Jam Industrial Supply LLC,3M™,3M™,3MABR-7100048736,,Abrasives & Cutting Tools > Abrasives > Sanding Discs,"Jam Industrial Supply LLC 3M™, Equipment, 3MABR-7100048736 Industria",EQUIPMENT 3MABR-7100048736,3M™ 3MABR-7100048736 Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3M™ 3MABR-7100048736 Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://obsproject.com/tr/downLOAD,https://manaui.com/how-to-make-simple-cook-island-style-ika-mata/,https://www.196flavors.com/cook-islands-ika-mata/,,,3MABR-7100075690,,,,,3MABR-7100075690,,3M™,3M™,3M™,Jam Industrial Supply LLC,Jam Industrial Supply LLC,3M™,3M™,3MABR-7100075690,,Abrasives & Cutting Tools > Abrasives > Sanding Discs,"Jam Industrial Supply LLC 3M™, Equipment, 3MABR-7100075690 Industria",EQUIPMENT 3MABR-7100075690,3M™ 3MABR-7100075690 Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3M™ 3MABR-7100075690 Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.psychforums.com/paraphilias/topic123714.html,https://www.psychforums.com/family-support/topic45020.html,https://www.psychforums.com/avoidant-personality/topic30063.html,,,3MABR-7100075692,,,,,3MABR-7100075692,,3M™,3M™,3M™,Jam Industrial Supply LLC,Jam Industrial Supply LLC,3M™,3M™,3MABR-7100075692,,Abrasives & Cutting Tools > Abrasives > Sanding Discs,"Jam Industrial Supply LLC 3M™, Equipment, 3MABR-7100075692 Industria",EQUIPMENT 3MABR-7100075692,3M™ 3MABR-7100075692 Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3M™ 3MABR-7100075692 Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.how2shout.com/how-to/how-to-get-help-in-windows-11.html,https://thetechgorilla.com/how-to-get-help-in-windows-11/,https://www.wikihow.com/Get-Help-in-Windows-11,,,3MABR-7100145365,,,,,3MABR-7100145365,,3M™,3M™,3M™,Jam Industrial Supply LLC,Jam Industrial Supply LLC,3M™,3M™,3MABR-7100145365,,Abrasives & Cutting Tools > Abrasives > Sanding Discs,"Jam Industrial Supply LLC 3M™, Equipment, 3MABR-7100145365 Industria",EQUIPMENT 3MABR-7100145365,3M™ 3MABR-7100145365 Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3M™ 3MABR-7100145365 Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.ward-kennedy.com/P/44069/56-332-080,,,,,5B-332-080,,Abrasive Disc,,,5B-332-080,,Mirka®,Mirka®,Mirka®,Mirka Abrasives Inc,Mirka Abrasives Inc,Mirka®,Mirka®,5B-332-080,,Abrasives & Cutting Tools > Abrasives > Discs & Sheets,"Mirka Abrasives Inc Mirka®, Abrasive Disc, 5B-332-080, Diameter 5 in, Grit P80",ABRASIVE DISC 5IN P80 PSA WITHLINER,"Mirka® 5B-332-080 Abrasive Disc (Diameter: 5 in, Grit: P80, Attachment Type: PSA)","HIOLIT JF 5"" PSA P80 W/Liner abrasive discs, sold in boxes of 50. Features Aluminium oxide grain, J-weight cotton cloth backing, and resin over resin bonding with a closed coating.","HIOLIT JF 5"" PSA P80 W/Liner abrasive discs, sold in boxes of 50. Features Aluminium oxide grain, J-weight cotton cloth backing, and resin over resin bonding with a closed coating.","HIOLIT JF 5"" PSA P80 W/Liner abrasive discs, sold in boxes of 50. Features Aluminium oxide grain, J-weight cotton cloth backing, and resin over resin bonding with a closed coating.",,,,,,,,,,,,,,,,,,,,,,,,,,"Mirka® 5B-332-080 Abrasive Disc (Diameter: 5 in, Grit: P80, Attachment Type: PSA)",Diameter,5,in,Grit,P80,,Attachment Type,PSA,,Backing Type,With Liner,,Quantity Per Box,50,discs,Grain Material,Aluminium Oxide,,Color,Maroon,,Backing Material,J-weight Cotton Cloth,,Bonding Type,Resin Over Resin,,Coating Type,Closed,,Weight,1.0000,lb,Depth,1,in,Width,1,in,Height,1,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,in,1,in,1.0000,lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://playminigames.net/game/bfdia-5b-%E2%80%93-battle-for-dream-island,,,,,5B-332-120,,,,,5B-332-120,,Mirka®,Mirka®,Mirka®,Mirka Abrasives Inc,Mirka Abrasives Inc,Mirka®,Mirka®,5B-332-120,,Industrial Supplies > General Industrial Equipment,"Mirka Abrasives Inc Mirka®, Equipment, 5B-332-120 Industrial",EQUIPMENT 5B-332-120,Mirka® 5B-332-120 Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirka® 5B-332-120 Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.nainc.org/product/mirka-abranet-2-3-4-in-x-10-yd-240g-mesh-grip-roll/,https://www.freeportmarine.com/products/mirka-9a-570-240-abranet-2-3-4-x-30-roll-240g-50-pk,https://www.toolsid.com/mirka-abrasives/abranet-30-x-2-75-240-grit-aluminum-oxide-mesh-grip-sanding-roll-mpn-9a-570-240.html,,,9A-570-240,,Mesh Grip Sanding Roll,,,9A-570-240,,Mirka®,Mirka®,Mirka®,Mirka Abrasives Inc,Mirka Abrasives Inc,Mirka®,Mirka®,9A-570-240,,Industrial Supplies > Equipment & Hardware > Mesh Grip Sanding Roll,"Mirka Abrasives Inc Mirka®, Mesh Grip Sanding Roll, 9A-570-240",MESH GRIP SANDING ROLL 2-3/4IN 30FT 240,"Mirka® 9A-570-240 Mesh Grip Sanding Roll (Width: 2-3/4 in, Length: 30 ft, Grit Rating: 240)","Mirka Abranet mesh grip sanding roll, MPN 9A-570-240, features aluminum oxide abrasive material, 240 grit, and dimensions of 30 feet by 2.75 inches.","Mirka Abranet mesh grip sanding roll, MPN 9A-570-240, features aluminum oxide abrasive material, 240 grit, and dimensions of 30 feet by 2.75 inches.","Mirka Abranet mesh grip sanding roll, MPN 9A-570-240, features aluminum oxide abrasive material, 240 grit, and dimensions of 30 feet by 2.75 inches.",,,,,,,,,,,,,,,,,,,,,,,,,,"Mirka® 9A-570-240 Mesh Grip Sanding Roll (Width: 2-3/4 in, Length: 30 ft, Grit Rating: 240)",Width,2-3/4,in,Length,30,ft,Grit Rating,240,,Product Type,Mesh Grip Roll,,Part Number,9A-570-240,,Package Quantity,50,pk,Abrasive Material,Aluminum Oxide,,Manufacturer Part Number,9A-570-240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,ft,,,2-3/4,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
