MANUFACTURER_NAME,BRAND_NAME
Rheem Manufacturing,FRIGIDAIRE®
Whirlpool Corporation,Whirlpool®
Freud Inc,Diablo®
Freud America Inc,Diablo
3M Company,3M™
3M Company,Cubitron™ II
Jam Industrial Supply LLC,3M™
Mirka Abrasives Inc,Mirka®
SKF Group,SKF
Siemens AG,Siemens
Schneider Electric,Square D™
Schneider Electric,Schneider Electric
ABB Ltd,ABB
Parker Hannifin Corporation,Parker
Eaton Corporation,Eaton
Rockwell Automation,Allen-Bradley®
Emerson Electric Co.,Emerson
Milwaukee Electric Tool Corp.,Milwaukee®
DeWalt Industrial Tool Co.,DeWalt®
Robert Bosch GmbH,Bosch
General Electric Company,GE®
Honeywell International Inc.,Honeywell
Danfoss Group,Danfoss
The Timken Company,Timken
NSK Ltd.,NSK
SMC Corporation,SMC
Festo AG & Co. KG,Festo
Gates Corporation,Gates
Baldor Electric Company,Baldor-Reliance®
Hubbell Incorporated,Hubbell
Leviton Manufacturing Co.,Leviton
Kohler Co.,Kohler®
Moen Incorporated,Moen®
Delta Faucet Company,Delta®
American Standard Brands,American Standard®
Ferguson Enterprises,ProFlo®
Watts Water Technologies,Watts®
Victaulic Company,Victaulic
Apollo Valves,Apollo®
NIBCO INC.,NIBCO®
Swagelok Company,Swagelok®
Grainger Global Sourcing,Dayton®
Littlefuse Inc.,Littelfuse
Bussmann by Eaton,Bussmann®
Cooper Industries,Cooper B-Line®
Klein Tools Inc.,Klein Tools®
Greenlee Tools,Greenlee®
Fluke Corporation,Fluke®
Ridgid Tool Company,RIDGID®
Stanley Black & Decker,Stanley®
Craftsman,Craftsman®
Makita Corporation,Makita®
Metabo HPT,Metabo®
Ingersoll Rand Inc.,Ingersoll Rand®
Campbell Hausfeld,Campbell Hausfeld
Lincoln Electric Company,Lincoln Electric®
Miller Electric Mfg. LLC,Miller®
ESAB Corporation,ESAB
Kimberly-Clark Corporation,Kimberly-Clark Professional®
Georgia-Pacific LLC,Georgia-Pacific®
Rubbermaid Commercial Products,Rubbermaid Commercial®
Tork by Essity,Tork®
Rust-Oleum Corporation,Rust-Oleum®
WD-40 Company,WD-40®
Loctite by Henkel,Loctite®
Permatex Inc.,Permatex®
DAP Global Inc.,DAP®
Gorilla Glue Company,Gorilla®
Titebond by Franklin International,Titebond®
CRC Industries Inc.,CRC®
LPS Laboratories,LPS®
Krylon Products Group,Krylon®
Bostik Inc.,Bostik®
Dormer Pramet,Dormer
Kennametal Inc.,Kennametal
Sandvik Coromant,Sandvik Coromant
Iscar Metals Inc.,Iscar
Seco Tools AB,Seco
Walter AG,Walter
Guhring Inc.,Guhring
Mitutoyo Corporation,Mitutoyo®
Starrett Company,Starrett®
Fowler High Precision,Fowler
Brown & Sharpe,Brown & Sharpe
Rexroth by Bosch,Bosch Rexroth
SMC Pneumatics,SMC
Bimba Manufacturing Co.,Bimba
Humphrey Products,Humphrey
Tolomatic Inc.,Tolomatic
Fabco-Air Inc.,Fabco-Air
Numatics by Emerson,Numatics
Aventics by Emerson,Aventics
Wilkerson Corp.,Wilkerson
Ross Controls,Ross
Norgren Ltd.,Norgren
Pisco USA Inc.,Pisco
Legris by Parker,Parker Legris
Alkon Corporation,Alkon
Brennan Industries,Brennan
Tompkins Industries,Tompkins
Kuriyama of America,Kuriyama
Goodyear Rubber Products,Goodyear
Continental AG,Continental
Jason Industrial,Jason Industrial
Flexaust Company,Flexaust
Boston by Danfoss,Boston
Weatherhead by Danfoss,Weatherhead
Aeroquip by Danfoss,Aeroquip
Dixon Valve & Coupling,Dixon®
PT Coupling Company,PT Coupling
OPW Engineered Systems,OPW
Banjo Corporation,Banjo®
Kuriyama Tigerflex,Tigerflex®
Kochek Co. Inc.,Kochek
Kuriyama Kuri Tec,Kuri Tec®
NewAge Industries,NewAge®
Saint-Gobain Tygon,Tygon®
Freelin-Wade Co.,Freelin-Wade
Zeus Company Inc.,Zeus
Thermoplastic Processes,Thermoplastic
