Measurement_Type,Approved_Abbreviation
inch,in
inches,in
in.,in
IN.,in
IN,in
foot,ft
feet,ft
ft.,ft
millimeter,mm
millimeters,mm
MM,mm
centimeter,cm
centimeters,cm
CM,cm
meter,m
meters,m
M,m
yard,yd
yards,yd
volt,V
volts,V
v,V
vac,V
vdc,V
VDC,V
VAC,V
ampere,A
amperes,A
amp,A
amps,A
a,A
milliampere,mA
milliamps,mA
ma,mA
mA,mA
watt,W
watts,W
w,W
kilowatt,kW
kilowatts,kW
kw,kW
kW,kW
hertz,Hz
hz,Hz
HZ,Hz
kilohertz,kHz
megahertz,MHz
horsepower,hp
HP,hp
hp,hp
ohm,ohm
ohms,ohm
pound,lb
pounds,lb
lbs,lb
lb.,lb
ounce,oz
ounces,oz
gram,g
grams,g
gm,g
kilogram,kg
kilograms,kg
kg.,kg
ton,ton
psi,psi
PSI,psi
bar,bar
pascal,Pa
kilopascal,kPa
newton,N
kilonewton,kN
kn,kN
kN,kN
lbf,lbf
r/min,r/min
rpm,r/min
RPM,r/min
gpm,gpm
GPM,gpm
cfm,cfm
l/min,l/min
dBA,dBA
dba,dBA
db,dB
decibel,dB
deg F,°F
deg C,°C
fahrenheit,°F
celsius,°C
°F,°F
°C,°C
